,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ตารางที่ X แสดงรายละเอียดเรื่องการชื่นชม Oishi Food,,,,,,,
,Ticket number,Name,Priority,Status,Created date (YYYY-MM-DD HH:MM:SS),Resolution time,Ticket data: branch,Owner name,Ticket data: ยินดีให้ทางเจ้าหน้าที่ติดต่อกลับหรือไม่,Ticket data: แหล่งที่มา,Ticket data: วัตถุประสงค์ที่ลูกค้าติดต่อ,,ลำดับ,แบรนด์ที่ใช้บริการ,สาขา,รายละเอียดเรื่องร้องเรียน,รูปแบบการใช้บริการ,จังหวัด,การแก้ปัญหา,สถานะ
,T-9989,[Reward] Compliment Form - SOC,Low,Closed,12/25/2025 10:36,71,92203128,92203128 - Shabushi - Big C Yala,ไม่ยินดี,SOC,ชื่นชม,,1,Shabushi,บิ๊กซี ยะลา,Reward : Compliment >>  พนักงานบริการดีมาก พูดจาสุภาพ และแต่งกายเรียบร้อย,รับประทานที่ร้าน,Yala,NA,Closed
,T-9981,[Reward] Compliment Form - CAL,Low,Closed,12/24/2025 20:45,115,92203125,92203125 - Shabushi - Central NakhonPrathom,ยินดี,CAL,ชื่นชม,,2,Shabushi,เซ็นทรัล นครปฐม,Reward : Compliment >>  พนักงานทุกท่านบริการดีเยี่ยมสม่ำเสมอทั้งก่อนและหลังรับบริการ,รับประทานที่ร้าน,Nakhon Pathom,NA,Closed
,T-9980,[Reward] Compliment Form - SOC,Low,Closed,12/24/2025 19:41,1295,92201014,92201014::92201015 - Oishi Eaterium::Oishi To Go - Fashion Island,ยินดี,SOC,ชื่นชม,,3,Oishi Eaterium,แฟชั่นไอส์แลนด์,"Reward : Compliment >>  พนักงานยิ้มแย้มแจ่มใส โดยเฉพาะ ""น้องมิ้น"" ที่ให้บริการดีเยี่ยมที่สุด",รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9973,[Reward] Compliment Form - SOC,Low,Closed,12/23/2025 12:57,68,92203136,92203136 - Shabushi - Seacon Square Srinakarin,ไม่ยินดี,SOC,ชื่นชม,,4,Shabushi,ซีคอน ชั้น 1,Reward : Compliment >>  พนักงานขยัน ดูแลลูกค้าดี และพูดจาสุภาพ,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9965,[Reward] Compliment Form - SOC,Low,Closed,12/21/2025 20:32,1080,92203036,92203036 - Shabushi - Big C Tiwanon,ไม่ยินดี,SOC,ชื่นชม,,5,Shabushi,บิ๊กซี ติวานนท์,Reward : Compliment >>  พนักงานใส่ใจสอบถามรายการอาหารตลอดและเสิร์ฟอาหารรวดเร็ว,รับประทานที่ร้าน,Nonthaburi,NA,Closed
,T-9959,[Reward] Compliment Form - SOC,Low,Closed,12/21/2025 14:04,373,92203065,92203065 - Shabushi - Samyan Mitrtown,ยินดี,SOC,ชื่นชม,,6,Shabushi,สามย่านมิตรทาวน์,Reward : Compliment >>  ประทับใจพนักงานที่ให้ข้อมูลส่วนลดชัดเจนและช่วยสอนขั้นตอนการใช้สิทธิ์,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9950,[Reward] Compliment Form - SOC,Low,Closed,12/20/2025 13:15,389,92203171,92203171 - Shabushi - Big C Chiangmai,ยินดี,SOC,ชื่นชม,,7,Shabushi,บิ๊กซี เชียงใหม่2,Reward : Compliment >>  พนักงานน่ารักทุกคน พูดจาไพเราะ ยิ้มแย้ม และมีอัธยาศัยดี,รับประทานที่ร้าน,Chiang Mai,NA,Closed
,T-9930,[Reward] Compliment Form - CAL,Low,Closed,12/17/2025 20:48,9,92201016,92201016 - Oishi Buffet - IT Mall Laksi,ยินดี,CAL,ชื่นชม,,8,Oishi Buffet,ไอทีมอลล์ หลักสี่,Reward : Compliment >>  ชื่นชมพนักงานที่ดูแลดีและแนะนำเรื่องที่จอดรถอย่างใส่ใจ,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9921,[Reward] Compliment Form - SOC,Low,Closed,12/16/2025 16:49,227,92203076,92203076 - Shabushi - Central Ladprao,ยินดี,SOC,ชื่นชม,,9,Shabushi,เซ็นทรัลลาดพร้าว,Reward : Compliment >>  บริการดีเยี่ยม พนักงานมีความกระตือรือร้นในการสอบถามลูกค้าตลอดเวลา,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9918,[Reward] Compliment Form - CAL,Low,Closed,12/16/2025 15:11,171,92201019,92201019 - Oishi Buffet - Seacon Bangkae,ยินดี,CAL,ชื่นชม,,10,Oishi Buffet,ซีคอน บางแค,Reward : Compliment >>  ชื่นชมทีมพนักงานบริการดี ร้านสะอาด,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9916,[Reward] Compliment Form - CAL,Low,Closed,12/16/2025 12:15,151,92203137,"92203137 - Shabushi - Seacon Square Srinakarin, 4th Floor",ยินดี,CAL,ชื่นชม,,11,Shabushi,ซีคอน ชั้น 4,Reward : Compliment >>  พนักงานทุกท่านให้บริการดีมากแม้จะเป็นกลุ่มใหญ่,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9905,[Reward] Compliment Form - CAL,Low,Closed,12/15/2025 11:34,,92203160,92203160 - Shabushi - Hua Hin Market Village,ไม่ยินดี,CAL,ชื่นชม,,12,Shabushi,หัวหินมาร์เก็ตวิลเลจ,Reward : Compliment >>  ประทับใจพนักงานที่ใส่ใจดูแลลูกค้าที่มีอาการแพ้อาหารและจัดหายาให้ทันที,รับประทานที่ร้าน,Prachuap Khiri Khan,NA,Closed
,T-9902,[Reward] Compliment Form - CAL,Low,Closed,12/14/2025 21:38,1413,92203136,92203136 - Shabushi - Seacon Square Srinakarin,ไม่ยินดี,CAL,ชื่นชม,,13,Shabushi,ซีคอน ชั้น 1,Reward : Compliment >>  ชื่นชมพนักงานชาย (ใส่แว่นขาว) และทีมงานทุกคนที่ดูแลลูกค้าดีมาก,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9846,[Reward] Compliment Form - SOC,Low,Closed,12/10/2025 14:10,16,92203112,92203112 - Shabushi - The Mall Bangkae,ไม่ยินดี,SOC,ชื่นชม,,14,Shabushi,เดอะมอลล์ บางแค,Reward : Compliment >>  ชื่นชมพนักงาน (คาดว่าเป็น ผจก.) ที่กระตือรือร้น ยิ้มแย้ม และดูแลลูกค้าดีมาก,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9829,[Reward] Compliment Form - CAL,Low,Closed,12/9/2025 10:15,188,92203125,92203125 - Shabushi - Central NakhonPrathom,ยินดี,CAL,ชื่นชม,,15,Shabushi,เซ็นทรัล นครปฐม,Reward : Compliment >>  ประทับใจผู้จัดการที่มอบเค้กวันเกิดพิเศษให้กับลูกสาวของลูกค้า,รับประทานที่ร้าน,Nakhon Pathom,NA,Closed
,T-9824,[Reward] Compliment Form - CAL,Low,Closed,12/8/2025 16:11,1684,92203125,92203125 - Shabushi - Central NakhonPrathom,ยินดี,CAL,ชื่นชม,,16,Shabushi,เซ็นทรัล นครปฐม,Reward : Compliment >>  ผู้จัดการมอบเค้กวันเกิดพิเศษให้ลูกค้า สร้างความประทับใจอย่างมาก,รับประทานที่ร้าน,Nakhon Pathom,NA,Closed
,T-9818,[Reward] Compliment Form - SOC,Low,Closed,12/8/2025 6:55,346,92203043,92203043 - Shabushi - Big C Pathumthani,ไม่ยินดี,SOC,ชื่นชม,,17,Shabushi,บิ๊กซีปทุมธานี,Reward : Compliment >>  ชื่นชมพนักงานที่ติดตามใบกำกับภาษีให้อย่างรวดเร็วและมีจิตบริการสูง,รับประทานที่ร้าน,Pathum Thani,NA,Closed
,T-9816,[Reward] Compliment Form - CAL,Low,Closed,12/7/2025 21:05,1135,92203089,92203089 - Shabushi - Central Ayutthaya,ไม่ยินดี,CAL,ชื่นชม,,18,Shabushi,เซ็นทรัล อยุธยา,Reward : Compliment >>  ชื่นชมพนักงานที่จดจำรายละเอียดเมนูโปรดของลูกค้าได้,รับประทานที่ร้าน,Phra Nakhon Si Ayutthaya,NA,Closed
,T-9790,[Reward] Compliment Form - SOC,Low,Closed,12/5/2025 18:52,154,92203177,92203177 - Shabushi - Central Lampang,ยินดี,SOC,ชื่นชม,,19,Shabushi,เซ็นทรัล ลำปาง,Reward : Compliment >>  พนักงานน่ารักและบริการดีสม่ำเสมอแม้ลูกค้าจะเยอะ อาหารอร่อยมาก,รับประทานที่ร้าน,Lampang,NA,Closed
,T-9766,[Reward] Compliment Form - SOC,Low,Closed,12/2/2025 21:24,32,92201014,92201014::92201015 - Oishi Eaterium::Oishi To Go - Fashion Island,ไม่ยินดี,SOC,ชื่นชม,,20,Oishi Eaterium,แฟชั่นไอส์แลนด์,Reward : Compliment >>  ชื่นชมความสะอาดและการบริการที่ใส่ใจของพนักงาน,รับประทานที่ร้าน,Bangkok,NA,Closed
,T-9756,[Reward] Compliment Form - SOC,Low,Closed,12/1/2025 19:29,133,92203198,92203198 - Shabushi - Lotus Rangsit-Nakornnayok,ยินดี,SOC,ชื่นชม,,21,Shabushi,โลตัส รังสิต-นครนายก,Reward : Compliment >>  ชื่นชมหัวหน้าร้านที่แก้ไขปัญหาคูปองส่วนลดขัดข้องได้อย่างรวดเร็วและมีไหวพริบ,รับประทานที่ร้าน,Pathum Thani,NA,Closed
,T-9745,[L2 - High Priority] [Reward] Compliment Form - CAL,High,Closed,12/1/2025 14:37,145,92203003,92203003 - Shabushi - Lotus Bang Yai,ยินดี,CAL,ชื่นชม,,22,Shabushi,โลตัส บางใหญ่,Reward : Compliment >>  ชื่นชมพนักงานที่ดูแลและให้บริการลูกค้าดีมาก,รับประทานที่ร้าน,Nonthaburi,NA,Closed
,T-10040,[Reward] Compliment Form - SOC,Low,Closed,12/30/2025 16:18,,92203187,92203187 - Shabushi - Lotus Suphanburi,ไม่ยินดี,SOC,ชื่นชม,,23,Shabushi,โลตัส สุพรรณบุรี,Reward : Compliment >>  พนักงานบริการดีเยี่ยม สร้างความประทับใจให้กับสมาชิกในครอบครัว,รับประทานที่ร้าน,Suphan Buri,NA,Closed
,T-10038,[Reward] Compliment Form - SOC,Low,Closed,12/30/2025 14:19,134,92203171,92203171 - Shabushi - Big C Chiangmai,ไม่ยินดี,SOC,ชื่นชม,,24,Shabushi,บิ๊กซี เชียงใหม่2,Reward : Compliment >>  บริการดีมากและอาหารสะอาดได้มาตรฐาน,รับประทานที่ร้าน,Chiang Mai,NA,Closed
